line,direction,from_station,to_station,total,early,am_peak,midday,pm_peak,evening,late
Central,WB,Oxford Circus,Bond Street,450.0,18.0,84.0,146.0,81.0,74.0,47.0
Central,WB,Bond Street,Marble Arch,450.0,17.0,84.0,147.0,81.0,73.0,48.0
Central,WB,Marble Arch,Lancaster Gate,450.0,17.0,84.0,146.0,81.0,74.0,48.0
Central,WB,Lancaster Gate,Queensway,450.0,16.0,84.0,146.0,81.0,74.0,49.0
Central,WB,Queensway,Notting Hill Gate,450.0,15.0,84.0,146.0,81.0,74.0,50.0
Central,WB,Notting Hill Gate,Holland Park,450.0,15.0,83.0,147.0,80.0,75.0,50.0
Central,WB,Holland Park,Shepherd's Bush LU,450.0,14.0,84.0,146.0,81.0,74.0,51.0
Central,WB,Shepherd's Bush LU,White City,450.0,14.0,83.0,146.0,81.0,74.0,52.0
Central,WB,White City,East Acton,403.0,22.0,72.0,127.0,70.0,66.0,46.0
Central,WB,East Acton,North Acton,403.0,21.0,71.0,128.0,70.0,66.0,47.0
Central,WB,North Acton,Hanger Lane,198.0,6.0,35.0,72.0,32.0,30.0,23.0
Central,WB,Hanger Lane,Perivale,198.0,5.0,35.0,72.0,33.0,29.0,24.0
Central,WB,Perivale,Greenford,198.0,5.0,34.0,73.0,32.0,30.0,24.0
Central,WB,Greenford,Northolt,198.0,5.0,34.0,72.0,33.0,30.0,24.0
Central,WB,Northolt,South Ruislip,166.0,4.0,28.0,54.0,25.0,30.0,25.0
Central,WB,South Ruislip,Ruislip Gardens,166.0,4.0,28.0,54.0,25.0,30.0,25.0
Central,WB,Ruislip Gardens,West Ruislip,156.0,4.0,23.0,54.0,25.0,27.0,23.0
Central,WB,North Acton,West Acton,174.0,13.0,28.0,54.0,31.0,26.0,22.0
Central,WB,West Acton,Ealing Broadway,174.0,13.0,28.0,54.0,30.0,27.0,22.0
District,EB,Ealing Broadway,Ealing Common,115.0,11.0,19.0,36.0,17.0,18.0,14.0
District,EB,Ealing Common,Acton Town,115.0,11.0,18.0,36.0,18.0,17.0,15.0
District,EB,Acton Town,Chiswick Park,132.0,21.0,19.0,38.0,22.0,17.0,15.0
District,EB,Chiswick Park,Turnham Green,132.0,22.0,18.0,39.0,21.0,18.0,14.0
District,EB,Richmond,Kew Gardens,116.0,8.0,18.0,36.0,19.0,19.0,16.0
District,EB,Kew Gardens,Gunnersbury,116.0,7.0,19.0,36.0,18.0,20.0,16.0
District,EB,Gunnersbury,Turnham Green,116.0,7.0,19.0,36.0,18.0,19.0,17.0
District,EB,Turnham Green,Stamford Brook,248.0,29.0,37.0,74.0,40.0,37.0,31.0
District,EB,Stamford Brook,Ravenscourt Park,248.0,29.0,36.0,74.0,41.0,36.0,32.0
District,EB,Ravenscourt Park,Hammersmith (DIS),248.0,28.0,37.0,74.0,40.0,37.0,32.0
District,EB,Hammersmith (DIS),Barons Court,245.0,28.0,37.0,73.0,41.0,36.0,30.0
District,EB,Barons Court,West Kensington,245.0,27.0,37.0,74.0,40.0,37.0,30.0
District,EB,West Kensington,Earl's Court,245.0,27.0,37.0,73.0,41.0,37.0,30.0
District,EB,Wimbledon,Wimbledon Park,246.0,14.0,44.0,72.0,43.0,41.0,32.0
District,EB,Wimbledon Park,Southfields,246.0,13.0,45.0,72.0,43.0,41.0,32.0
District,EB,Southfields,East Putney,246.0,13.0,45.0,72.0,43.0,41.0,32.0
District,EB,East Putney,Putney Bridge,246.0,13.0,45.0,72.0,42.0,42.0,32.0
District,EB,Putney Bridge,Parsons Green,246.0,12.0,45.0,72.0,43.0,41.0,33.0
District,EB,Parsons Green,Fulham Broadway,247.0,13.0,45.0,72.0,42.0,42.0,33.0
District,EB,Fulham Broadway,West Brompton,247.0,12.0,46.0,72.0,42.0,42.0,33.0
District,EB,West Brompton,Earl's Court,247.0,12.0,45.0,72.0,43.0,41.0,34.0
District,EB,Kensington (Olympia),Earl's Court,8.0,5.0,1.0,0.0,0.0,2.0,0.0
District,EB,Earl's Court,High Street Kensington,141.0,20.0,19.0,36.0,18.0,25.0,23.0
District,EB,High Street Kensington,Notting Hill Gate,111.0,8.0,18.0,36.0,18.0,18.0,13.0
District,EB,Notting Hill Gate,Bayswater,111.0,8.0,18.0,36.0,18.0,18.0,13.0
District,EB,Bayswater,Paddington TfL,111.0,8.0,18.0,36.0,18.0,18.0,13.0
District,EB,Paddington TfL,Edgware Road (DIS),111.0,8.0,18.0,36.0,18.0,18.0,13.0
District,EB,Earl's Court,Gloucester Road,357.0,23.0,65.0,109.0,65.0,56.0,39.0
District,EB,Gloucester Road,South Kensington,357.0,23.0,65.0,109.0,65.0,56.0,39.0
District,EB,South Kensington,Sloane Square,357.0,23.0,64.0,110.0,64.0,57.0,39.0
District,EB,Sloane Square,Victoria LU,357.0,22.0,64.0,110.0,64.0,57.0,40.0
District,EB,Victoria LU,St. James's Park,357.0,21.0,64.0,110.0,64.0,57.0,41.0
District,EB,St. James's Park,Westminster,357.0,20.0,65.0,109.0,64.0,57.0,42.0
District,EB,Westminster,Embankment,357.0,20.0,64.0,110.0,64.0,57.0,42.0
District,EB,Embankment,Temple,357.0,19.0,65.0,109.0,65.0,57.0,42.0
District,EB,Temple,Blackfriars LU,357.0,19.0,64.0,110.0,64.0,57.0,43.0
